name,tagline,investors_name,address,industries,valuation,last_round,last_round_amount,date
LiveEO,LiveEO uses satellite data and machine learning algorithms to monitor infrastructure networks for external threats and forecast repercussions. The service detects changes to forecast dangers,MMC Ventures,"Berlin, Germany",energy oil & gas,€100-150m,SERIES B,€25m,2024.6
Sanity Group,Unlocking the potential of cannabinoids to develop innovative pharmaceuticals and well-being products,OrganiGram,"Berlin, Germany",health pharmaceutical,€150-226m,CONVERTIBLE,€12.33m,2024.6
Hive,"Service, software and operations out of one hand helps you manage your brand from sourcing to final delivery",Earlybird Venture Capital,"Berlin, Germany",transportation logistics & delivery,€145m,SERIES A,€18.2m,2024.6
Deepsafety,"We're building AiDAR™, a safe and certifiable Spatial AI Sensor to replace LiDAR at the price of a camera",,"Berlin, Germany",robotics mobility,,,,2024.6
Forward Earth,,Speedinvest,"Berlin, Germany",enterprise software,€8-12m,SEED,€2m,2024.6
Tilta,Building the technology that brings frictionless payment terms to B2B marketplaces and merchants,ff Venture Capital,"Berlin, Germany",fintech mortgages & lending,€16-24m,,,2024.6
ISS VOLL GESUND,,Sünderhauf Holding,"Berlin, Germany",,,,,2024.6
Mika,The AI co-pilot for small businesses,Samen Slimmer Alliance,"Berlin, Germany",,€3-5m,SEED,€0.8m,2024.6
Lillian Care,"Building a nationwide network of health facilities in Germany, aligning the growing challenges in medically underserved regions with the unique needs of modern healthcare professionals",Bjoern von Siemens,"Berlin, Germany",health,€6-9m,SEED,€1.5m,2024.6
Restate,Without worrying about distributed systems,Redpoint Ventures,"Berlin, Germany",,€28-42m,SEED,€7m,2024.6
MATEO,Helps local businesses grow by enabling an outstanding customer experience through messengers,Raakwark Kaptaal,"Berlin, Germany",media,,,,2024.6
Metiundo,Metiundo offers the measurement of the consumption of real estate for property managers and owners,EnPulse Ventures,"Berlin, Germany",energy,€4-6m,,,2024.6
Cardino,Online marketplace for used EVs,Point Nine,"Berlin, Germany","transportation search, buy & rent",€16-24m,SEED,€4m,2024.6
Moss,Development of software and software-based platforms to provide technical support for the provision of third-party payment services,Valar Ventures,"Berlin, Germany",fintech financial management solutions,€500m,,,2024.6
Tacalyx,Tacalyx develops therapeutics targeting cancer-specific carbohydrate antigens on the surface of metastatic malignant tumors where no satisfactory treatments exist,Creathor Ventures,"Berlin, Germany",health biotechnology,€28-42m,SEED,€7m,2024.6
Quantica,Quantica technology develops and manufactures 3d printers and parts,West Hill Capital,"Berlin, Germany",engineering and manufacturing equipment,€70m,SERIES A,€5.7m,2024.6
Mateo,,Brandenburg Kapital,"Berlin, Germany",,€4-6m,SEED,€1m,2024.6
LEMO,"Offers planning, production and development of WEB services, applications and sites specializing in new businesses",Joy Capital,"Berlin, Germany",,€40-60m,SEED,€10m,2024.6
M^ZERO Labs,M^ZERO Labs aims to develop a decentralized network enabling institutional participants to reliably link assets to a decentralized infrastructure,Earlybird Venture Capital,"Berlin, Germany",fintech crypto and defi,€140-210m,SERIES A,€35m,2024.6
Dive Solutions,"Providing engineers with particle-based simulation software that handles everything, requiring no installation or hardware, just pure engineering",D.E. Shaw Group,"Berlin, Germany",enterprise software,€40-60m,SERIES A,€10m,2024.6
Lemmofuture,Lemmo blends the joy of cycling simplicity with tech-driven.Taking light electric mirco mobility to a new level.Bring you a unique life experience,Joy Capital,"Berlin, Germany",sports,€40-60m,SEED,€10m,2024.6
Ecolocked,"Develops novel recipes for concrete and other building materials: CO2-optimized, lighter, more insulating, and with many other features that can be customized to different applications",VOYAGERS,"Berlin, Germany",real estate construction,€16-24m,SEED,€4m,2024.6
SLAY,"The company is developing a mobile app that allows users to anonymously answer questions about their friends. The questions are intended to make it possible to give honest compliments and thus bring positivity to the fore, especially among younger users",Riccardo Zacconi,"Berlin, Germany",,€20-30m,SEED,€5m,2024.6
re:cap,Creates a subscription economy financial marketplace,Project A,"Berlin, Germany",fintech mortgages & lending,€59-88m,SERIES A,€14.67m,2024.6
Captain T Cell,,Brandenburg Kapital,"Berlin, Germany",,€34-51m,SEED,€8.5m,2024.5
Signatrix,"Remaking Retail - Connecting with security cameras, we use Artificial Intelligence to analyse whatever is happening in retail stores",ITAB Germany,"Berlin, Germany",security,,,,2024.5
Seqana,Developer of satellite-based software for nature-based climate solutions to assess soil health. The company specializes in satellite-based monitoring of soil organic carbon (SOC),High-Tech Gründerfonds,"Berlin, Germany",food agritech,€8-13m,SEED,€2.1m,2024.5
Faircado,"AI-powered aggregator for second-hand shopping online that makes you save time, money and the planet",Accel,"Berlin, Germany",marketing ecommerce solutions,€12-18m,SEED,€3m,2024.5
Autovio,Digital concepts for driving schools,Coparion,"Berlin, Germany",education,€15-23m,EARLY VC,€3.8m,2024.5
Nowa,No-Code platform used to build professional cross-platform apps and web applications,Propeller,"Berlin, Jordan",enterprise software,,,,2024.5
2sync,2Sync's SDK enables room-independent House Scale Virtual Reality (VR) experiences,HPI Seed,"Potsdam, Germany",media,,,,2024.5
NeoCarbon,Reverses climate change by dramatically cutting costs of Direct Air Capture leveraging cooling towers around Europe,IBB,"Berlin, Germany",real estate,€13-19m,,,2024.5
CTRL-UP,Provides IT equipment rental and lifecycle management services for businesses,MBG Berlin-Brandenburg,"Berlin, Germany",enterprise software,€3-4m,SEED,€0.7m,2024.5
Rows,The spreadsheet with the best business data and APIs,Accel,"Berlin, Germany",enterprise software,€80m,LATE VC,€8m,2024.5
